,text,created_at,user_followers,user_friends,retweet_count,favorite_count,processed_text,label
0,Teater menjadi sorotan media. ,2024-03-05 22:00:06,1275,1452,128,96,teater sorot media,1
1,Pencemaran nama baik polisi masih memburu pelaku. ,2024-06-21 23:34:24,3707,3416,73,239,cemar nama polisi buru laku,0
2,Pemalsuan tersangka akan segera diadili. ,2024-05-09 13:56:44,7276,334,23,255,palsu sangka adil,0
3,Energi terbarukan menyediakan fasilitas baru. ,2024-06-24 09:12:59,7424,4789,454,66,energi baru sedia fasilitas,1
4,Penganiayaan tersangka mencoba melarikan diri. ,2024-01-21 10:44:27,2956,1403,346,225,aniaya sangka coba lari,0
5,Penggelapan kejadian ini menggemparkan warga. ,2024-02-04 15:57:08,8155,3072,199,238,gelap jadi gempar warga,0
6,Pencurian warga diminta waspada. ,2024-07-15 08:35:24,3320,3496,31,127,curi warga waspada,1
7,Desain produk menyediakan fasilitas baru. ,2024-04-16 00:03:27,7879,2635,195,166,desain produk sedia fasilitas,1
8,Pameran seni memecahkan rekor. ,2024-05-12 06:47:45,5298,1794,281,218,pamer seni pecah rekor,1
9,Perumahan meraih penghargaan internasional. ,2024-03-26 04:10:22,3120,4474,390,18,rumah raih harga internasional,2
10,Sosial menyediakan fasilitas baru. ,2024-03-14 15:25:55,3345,4033,379,55,sosial sedia fasilitas,1
11,Narkoba korban diminta melapor. ,2024-06-28 02:35:24,4123,4748,439,88,narkoba korban lapor,0
12,Pembunuhan tersangka mencoba melarikan diri. ,2024-07-28 09:46:40,4060,281,83,5,bunuh sangka coba lari,0
13,Kejahatan siber kasus meningkat selama pandemi. ,2024-07-25 16:28:29,8935,3256,80,67,jahat siber tingkat pandemi,0
14,Pemalsuan tersangka mengaku bersalah. ,2024-01-26 12:25:42,6766,187,452,61,palsu sangka aku salah,0
15,Kekerasan warga diminta waspada. ,2024-07-27 12:58:58,1713,2165,418,205,keras warga waspada,2
16,Festival menggali potensi lokal. ,2024-01-07 21:40:03,1466,4556,180,102,festival gali potensi lokal,2
17,Pelecehan polisi masih memburu pelaku. ,2024-04-17 00:53:39,3135,3780,402,139,leceh polisi buru laku,0
18,Penipuan berhasil ditangkap. ,2024-05-17 22:05:34,4065,4064,306,231,tipu hasil tangkap,0
19,Perdagangan manusia kasus ini menarik perhatian publik. ,2024-03-21 22:26:32,3652,4010,123,221,dagang manusia tarik perhati publik,1
20,Sosial diselenggarakan dengan sangat baik. ,2024-06-19 04:20:43,5213,447,30,95,sosial selenggara,1
21,Kemitraan menjunjung tinggi nilai budaya. ,2024-05-06 20:17:07,7232,3772,404,259,mitra junjung nilai budaya,2
22,Korupsi korban diminta melapor. ,2024-07-15 22:03:29,4398,4168,89,253,korupsi korban lapor,0
23,Budaya menjadi trend baru. ,2024-04-26 14:30:37,2531,1817,429,213,budaya trend,0
24,Karnaval meraih penghargaan internasional. ,2024-05-31 12:37:01,8196,1168,367,261,karnaval raih harga internasional,2
25,Ekonomi kreatif mendorong inovasi lokal. ,2024-02-08 08:02:31,6348,4780,32,166,ekonomi kreatif dorong inovasi lokal,1
26,Pemerasan motif masih belum diketahui. ,2024-06-10 22:15:31,5711,1018,285,292,peras motif,1
27,Pelatihan menciptakan lapangan kerja baru. ,2024-04-05 15:36:47,7060,813,95,6,latih cipta lapang kerja,1
28,Begal ada saksi yang melihat kejadian. ,2024-02-09 00:58:33,3041,1619,58,15,begal saksi jadi,0
29,Pemerasan polisi masih memburu pelaku. ,2024-07-13 19:36:46,9458,903,376,226,peras polisi buru laku,0
30,Pencemaran nama baik pelaku berhasil melarikan diri. ,2024-07-28 06:15:55,3665,2352,358,36,cemar nama laku hasil lari,0
31,Pencemaran nama baik masih dalam penyelidikan. ,2024-07-07 18:52:09,2784,137,8,98,cemar nama lidi,0
32,Pembangunan mengalami peningkatan. ,2024-07-05 06:14:51,5124,3456,350,247,bangun alami tingkat,2
33,Pelecehan ada saksi yang melihat kejadian. ,2024-06-25 00:12:48,4202,668,233,216,leceh saksi jadi,0
34,Pembakaran korban diminta melapor. ,2024-04-21 05:53:49,7718,4575,279,74,bakar korban lapor,0
